company_name,product_name,date_received,state,complaint_narrative,resolution,date_closed
JPMORGAN CHASE & CO.,Credit card,4/28/2024,TX,"Dear Consumer Financial Protection Bureau, I am writing to submit a formal complaint against my credit card company for incorrectly handling a dispute regarding hotel charges. Below is a summary of the events leading to the dispute and the issue with the credit card companys response : XXXX. Initial Hotel Booking Issue : I was incorrectly charged for an additional night by a hotel. Despite my attempts to resolve the issue directly with the hotel, they refused to refund the extra charge. 
XXXX. Dispute Filed : On XX/XX/XXXX, I filed a dispute with my credit card company regarding the additional nights charge, which was made without my consent. 
XXXX. Dispute Denied : The credit card company denied my dispute within hours of making the dispute, citing a cancellation policy and stating there was no record of me canceling. This is confusing and irrelevant to my claim, as my dispute concerns being charged for a night I did not authorize, not a cancellation. 
XXXX. Lack of Proper Investigation : The denial suggests that the credit card company did not adequately investigate the circumstances surrounding the hotels incorrect charge. There was no need for a cancellation, as my issue was with being incorrectly charged for an extra night I did not book. 

This incorrect handling of my dispute has not only left me unfairly out of pocket but also questions the efficacy of the dispute resolution process provided by my credit card company. I seek the CFPBs assistance to investigate this matter and to ensure that a fair and just resolution is reached. 

Thank you for your attention to this issue.",Closed with explanation,4/28/2024
NAVY FEDERAL CREDIT UNION,Checking or savings account,1/15/2025,NC,"NFCU continue to process charges, charging me late fees and then transferring the funds from my credit card or line of credit to pay for late fees and the charges.",Closed with explanation,1/15/2025
NAVY FEDERAL CREDIT UNION,Checking or savings account,1/21/2025,VA,"I am writing to file a complaint against Navy Federal Credit Union regarding multiple overdraft fees I have incurred. Despite having sufficient funds when transactions were authorized, I was charged fees due to lagged posting of charges and credits. This issue aligns with the recent CFPB findings against Navy Federal for similar practices, where transactions settled with insufficient balances despite initially available funds. I believe these practices are unfair and request an investigation into my account transactions.",Closed with explanation,1/21/2025
WELLS FARGO & COMPANY,Checking or savings account,4/26/2024,FL,"I keep an eye on my account, this morning I had XXXX in my account, went to the post office spent XXXX then XXXX XXXX then i use XXXX to add with my cashapp,. Now I am missing money from my account. so the lady put in a complaint for me, then I asked for a new card with different number, so she then proceeds to tell me my card will take XXXX days before i get it. So I asked her can I get my card Expressed, she said it dont qualify. I have been with this bank for 28 years, my mortgage been with them for 28 years and I purchased a car which was under Well Fargo for 2 years. So I ask I dont get an incentive since I been with you all for all these years they said no. Then continued to ask to speak to an manager, that never happened. I need my card expressed because I have bills that need to be paid on the XXXX of the month and that window of XXXX days so I asked them to let me speak to a manager no luck.. I have been doing business with this bank for 28 years and my mortgage been with them for 28 years. Also i am missing money out of my account and they had to file a complaint. Every one i talked to says the same thing ..MY CARD DOES NOT QUALTIFY FOR EXPRESS DELIVERY.. my bills need to be paid and I need all numbers on the card to change out for the new card they will not accept digital cards of last XXXX digits. I am so upset with these ppl. I hate how Wells Fargo handled me and my problem. they dont consider my situation. The on XXXX",Closed with explanation,4/26/2024
"CITIBANK, N.A.",Credit card,4/28/2024,FL,"I went to XXXX on vacation on XX/XX/2024. While there a charge was posted to my Citi credit card. This was on XX/XX/2024 for {$910.00} ( XXXX ) from a company called XXXX in XXXX XXXX XXXX XXXX I was in XXXX, XXXX this day and was on group tour. When we came home I checked my credit card statement and found this fraudulent charge on my card. I immediately called Citi and disputed this charge on XX/XX/2024. They opened a dispute. Then on XX/XX/2024 they text me to call them to discuss this matter. I called immediately to speak with them. They asked some questions about the bill and other charges on my card. They said that this card was present to make this charge and I said it was with me the whole time. I never gave card to anyone which they accused me of doing. They stated they will issue new card. On XX/XX/2024, they contacted me again by text with number. Did not use this number, but one on back of card. When calling back we got XXXX security department who kept on insisting that this card has a chip only to the card that we have and no one else can use it. But we never gave it out. All she kept saying it showed the card was present. After phone call completed, received another call from fraud departemnt and asked if all questions were answered. We did and they hung up. On XX/XX/2024, I looked at my statement online and saw the charge was back on. I called back and spoke with XXXX ( XX/XX/2024 ) Fraud dept. and she said that the investigation was over. I asked where was the signed receipt I requested on XX/XX/2024 by e-mail and she had no knowledge of e-mail and could not produce it. They have no evidence that I made this charge. All they keep saying is card was present and I have to pay. I have no merchandise for this charge and they can't produce evidence.. Researching the company on line, I found they dissolved on XX/XX/2024. I can not understand how Citi can not find this information since it is on them with their fraud department to keep me safe from fraud.",Closed with non-monetary relief,4/28/2024
CAPITAL ONE FINANCIAL CORPORATION,Credit card,4/26/2024,CA,"I have tried to call CapitalOne almost everyday, basically they all told me they are working on it, no one is giving me a definite answer. My credit score dropped from XXXX to XXXX because of a fraud charge from CapitalOne. I need CapitalOne to report the correct information to credit bureau to fix my credit score",Closed with explanation,4/26/2024
PNC Bank N.A.,Checking or savings account,11/20/2022,GA,"I, the consumer and natural person, was denied an account by PNC BANK when I applied for a XXXXbalance account and my documents, including a security instrument, were supposedly destroyed and not returned to me which is required by law. 
On XX/XX/2022 I made a deposit into the XXXX  XXXX XXXX in the outside deposit drawer of PNC at XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX ( Please see attached deposit items ). 

On XX/XX/2022, PNC assistant branch manager XXXX XXXX called to confirm my request and refused to open my XXXX balance account per the instructions in the deposit envelope. 

I, then requested on the same date that she have the legal department to review my documents and open the account as requested. As of XX/XX/XXXX, XXXX claims they ( the legal department ) rejected the documents ( message via another banker who answered the phone as she was busy ) and she never called me back as requested the week prior with an update, nor has she returned my documents. 

On XX/XX/2022 I sent a complaint via email and fax. 

On XX/XX/2022, XXXX XXXX, Vice President PNC Bank, XXXX  Client Relations XXXX XXXX, called to enlighten me that PNC does not offer this type of service despite it being on their website. She stated that she did not know what I was talking about. A very unfruitful conversation that ended in me requesting my documents back and her agreeing to do so. Here is the link : https : //www.pnc.comXXXX  As of XX/XX/2022, XXXX XXXX XXXX Vice President PNC Bank XXXX XXXX Client Relations XXXX XXXX, called to inform me that the documents were destroyed by XXXX XXXX at the XXXX XXXX  XXXX XXXX 

I am requesting my XXXX-balance account be opened per my instructions along under your treasury measurement services immediately upon receiving this request. I also would appreciate her returning my documentation asap that is identity theft because they scanned these documents and continue using them without my knowledge. All banks have the right to use my information as they see fit since I agreed to be a member of this bank and I would like to be able to benefit from my instruments and data being used without my authorization just like them. 

I would greatly like to have someone return a response to my request at your earliest convenience. If this transaction is not possible, I need in writing as to why I am not allowed to open this type of account although its blatantly advertised on their website. This is false misrepresentation and identity theft. Thank you XXXX XXXX Governs this transaction as all debts are pre-paid and access to my treasury account is granted by me extending credit to PNC via the instrument they claim was destroyed, but once accepted they must honor it. XXXX XXXX is another law/statute that states once a negotiable instrument is presented it must be honored.",Closed with explanation,11/20/2022
WELLS FARGO & COMPANY,Credit card,4/28/2024,CA,"I called Wells Fargos credit card department on Saturday, XX/XX/2024, on or around XXXX XXXX XXXX. I spoke to an agent named XXXX in the XXXX. He provided false and misleading statements saying my Wells Fargo credit card was reported 30 days past due, 60 days past due, and 90 days past due, and that is also how it would reflect on my credit report. 

This is false. The fact is I have never been 30 days past due on my Wells Fargo credit card account. 

XXXX refused to provide his employee ID number and the name of his supervisor. 

I seek to hold XXXX and Wells Fargo accountable for providing false and misleading statements.",Closed with explanation,4/28/2024
PNC Bank N.A.,Mortgage,7/11/2022,CT,"Around the middle of XX/XX/2022, I made contact with a representative of PNC Bank, XXXX XXXX PNC Mortgage Loan Officer XXXX # XXXX and inquired about refinancing a mortgage with PNC in order to remove my ex-spouse from the mortgage. I entered into discussions with XXXX XXXX XXXX ) XXXX XXXX XXXX XXXX XXXXXXXX Loan Officer XXXX # XXXX as to the possibility of obtaining a HELOC for the purposes of paying off the mortgage with PNC if I had enough equity in the property which was not my property of main residence. Based on those discussions I removed {$50000.00} from my retirement savings and paid down the mortgage to a level that was indicated as sufficient for this process to continue. Providing documentation on my financial status I was never given an indication that was an issue with the amounts that I was seeking for the HELOC. due to incorrect information with a credit reporting agency, I corrected the information but PNC Bank required a secure text to take place and was told that after correcting the information it may take up to 60 days for the information to become "" active '' but in all likelihood would not take that much time. After 40 days of futile attempts I traveled 4 hours out of state to arrive at a PNC office in another state to verify my identity. At that time I was told and encouraged to open a checking account to XXXX a .25 % reduction on my HELOC application. I did so with the idea that it was a benefit and was also told that it would provide a better pathway for monthly repayment of the loan which seemed reasonable. Today XX/XX/2022 I received a Statement of Credit Denial from PNC for loan # XXXX stating code XXXX proportion of loan balances to loan amounts is too high, and code XXXX Length of time account have been established. I feel I was misled on this process and I have complied with all requirements outlined by PNC.",Closed with explanation,7/11/2022
DISCOVER BANK,Credit card,9/27/2024,NY,Ive found some inaccurate and potentially fraudulent information on my credit report.,Closed with explanation,9/27/2024
